RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio,InflationRate_Log,IncomeGroup,GDPPerCapita_Growth,GDPPerCapita_Growth_Lag1,GDPPerCapita_Growth_Lag3,GDPPerCapita_Growth_Lag5,InflationRate_Log_Lag1,InflationRate_Log_Lag3,InflationRate_Log_Lag5,EmploymentPopulationRatio_Lag1,EmploymentPopulationRatio_Lag3,EmploymentPopulationRatio_Lag5,GDPPerCapita_Scaled,GNIPerCapita_Scaled,InflationRate_Log_Scaled,EmploymentPopulationRatio_Scaled
EU,Europe,ALB,Albania,1992,Female,14,0.19185967,0.8664197,0.87456272,3247039.0,652174990.8,200.8522198,906184212.3,1740.0,226.0054213,45.315,5.470738064784215,Low/Middle-Income,,,,,,,,,,,-0.8971474893633125,-1.1016726907133796,4.63700559859803,-1.3342564433012358
EU,Europe,ALB,Albania,1993,Female,27,0.38516405,1.7550773,1.68602473,3227287.0,1185315468.0,367.2792251,1024263065.0,2110.0,85.00475124,47.798,4.570939425646425,Low/Middle-Income,82.8604261709036,,,,5.470738064784215,,,45.315,,,-0.8884544360008944,-1.081608632144159,3.0552752295047627,-1.0181568659095372
EU,Europe,ALB,Albania,1994,Female,15,0.24342746,0.98814675,0.92833271,3207536.0,1880950864.0,586.4161351,1216680600.0,2300.0,22.56505269,50.086,3.53208381676008,Low/Middle-Income,59.664934748306294,82.8604261709036,,,4.570939425646425,,,47.798,,,-0.8770081635112131,-1.0713054669329374,1.2291005786373703,-0.7268818626585487
EU,Europe,ALB,Albania,1995,Female,34,0.50392767,2.11338033,2.07178112,3187784.0,2392764853.0,750.6044492,2035219960.0,2710.0,7.793218538,53.186,2.9664741845406914,Low/Middle-Income,27.998601039857363,59.664934748306294,,,3.53208381676008,5.470738064784215,,50.086,45.315,,-0.8684320446692985,-1.049072320950828,0.23483153507630272,-0.3322347865754779
EU,Europe,ALB,Albania,1996,Female,39,0.56285178,2.43144652,2.35081374,3168033.0,3199640815.0,1009.977111,2823912223.0,3050.0,12.72547781,53.039,3.1927607748632356,Low/Middle-Income,34.55517244487978,27.998601039857363,82.8604261709036,,2.9664741845406914,4.570939425646425,,53.186,47.798,,-0.8548841208469871,-1.0306350779412736,0.6326142794186446,-0.35094869631232006
EU,Europe,ALB,Albania,1997,Female,52,0.82526583,3.0626825,3.0671228,3148281.0,2258513974.0,717.3800477,2532885529.0,2780.0,33.18027438,51.873,3.8024396202164783,Low/Middle-Income,-28.97066281138723,34.55517244487978,59.664934748306294,,3.1927607748632356,3.53208381676008,5.470738064784215,53.039,50.086,45.315,-0.8701674691255235,-1.0452764179782725,1.7043513360705682,-0.4993869191229207
EU,Europe,ALB,Albania,1998,Female,61,0.89442815,3.43427377,3.57834223,3128530.0,2545964541.0,813.7893966,2700757967.0,3110.0,20.64285887,49.373,3.474229604905445,Low/Middle-Income,13.43908981147428,-28.97066281138723,27.998601039857363,82.8604261709036,3.8024396202164783,2.9664741845406914,4.570939425646425,51.873,53.186,47.798,-0.8651316781304685,-1.0273814468219407,1.127400309388109,-0.8176506901576551
EU,Europe,ALB,Albania,1999,Female,53,0.82644628,2.88340706,3.09687975,3108778.0,3212121651.0,1033.242532,2956593292.0,3550.0,0.389437654,48.201,2.4865332273598226,Low/Middle-Income,26.966821676083754,13.43908981147428,34.55517244487978,59.664934748306294,3.474229604905445,3.1927607748632356,3.53208381676008,49.373,53.039,50.086,-0.8536688881034334,-1.0035214852801646,-0.6088429875614466,-0.9668527460187382
EU,Europe,ALB,Albania,2000,Female,18,0.26019081,1.09826264,1.1826544,3089027.0,3480355258.0,1126.68334,3406993379.0,3980.0,0.050018136,48.925,2.4578878485842375,Low/Middle-Income,9.043453507390087,26.966821676083754,-28.97066281138723,27.998601039857363,2.4865332273598226,3.8024396202164783,2.9664741845406914,48.201,51.873,53.186,-0.8487881541822334,-0.9802037955916106,-0.6591978820597749,-0.8746835579270795
EU,Europe,ALB,Albania,2001,Female,35,0.54457756,2.30295001,2.27445231,3060173.0,3922100794.0,1281.659826,3906029741.0,4440.0,3.10758827,48.76,2.6904078479726294,Low/Middle-Income,13.755105848995687,9.043453507390087,13.43908981147428,34.55517244487978,2.4578878485842375,3.474229604905445,3.1927607748632356,48.925,49.373,53.039,-0.8406932007202663,-0.9552592903433902,-0.2504576056723963,-0.8956889668153719
